Title,Land Type,Price,Price per m2,Area,City
"BÁN NHÀ GẦN MT 20M, XÔ VIẾT NGHỆ TỈNH, P21, BT, DT4,6M×11M, GIÁ 6,3 TỶ","2 PN • Nhà ngõ, hẻm","6,3 tỷ",124 tr/m²,51 m²,Tp Hồ Chí Minh
Bán nhà 3 tầng (5m-22m) ngay Chợ Bình Chánh đang cho thuê 17 triệu,"4 PN • Nhà mặt phố, mặt tiền","1,1 tỷ","9,3 tr/m²",118 m²,Tp Hồ Chí Minh
"78m2 (5,5x14) công nhận đủ,sổ đẹp k phạm PT, 1/PH Ích, SHR","5 PN • Nhà ngõ, hẻm","7,1 tỷ",91 tr/m²,78 m²,Tp Hồ Chí Minh
Nhà đẹp Gò Vấp hẻm xe hơi ngủ trong nhà full nội thất cao cấp,"4 PN • Hướng Đông Bắc • Nhà ngõ, hẻm","7,5 tỷ",167 tr/m²,45 m²,Tp Hồ Chí Minh
Chính chủ cần bán trả nợ,"2 PN • Hướng Tây • Nhà ngõ, hẻm",700 triệu,"2,8 tr/m²",255 m²,Tây Ninh
PTY 1486 13000 1020 [S] Bán nhà sổ Hồng riêng,"4 PN • Nhà ngõ, hẻm","5,6 tỷ",100 tr/m²,56 m²,Tp Hồ Chí Minh
MẶT TIỀN THỔ CƯ VÕ VĂN HÁT Q9 - 501M² - PHÙ HỢP KD BUÔN BÁN,Đất thổ cư • Ngang 13.9 m,15 tỷ,30 tr/m²,501 m²,Tp Hồ Chí Minh
Q7BOULEVARD - BÁN CĂN OFFICE TEL 40M2 1.750 TỶ,1 PN • Chung cư,"1,75 tỷ",44 tr/m²,40 m²,Tp Hồ Chí Minh
Thơm! 2mt phường 7 quận 6 - ngang hơn 6m - cn115m2 -4 tầng - chỉ 13 tỷ,"4 PN • Nhà mặt phố, mặt tiền",13 tỷ,113 tr/m²,115 m²,Tp Hồ Chí Minh
Bán Dự án Căn hộ chung cư Fresia Riverside Tân Vạn Biên Hòa Đồng Nai,2 PN • Chung cư,"1,7 tỷ",33 tr/m²,51 m²,Đồng Nai
NHÀ 2MTKD trước sau BÀU CÁT 1 nối dài. 70m2. 2 Lầu-ST chỉ 11.8 tỷ,"5 PN • Nhà mặt phố, mặt tiền","11,8 tỷ",169 tr/m²,70 m²,Tp Hồ Chí Minh
"Chính Chủ Cần Bán 223m2 Đất Ven Sông Khu Dân Cư Long Thuận, Quận 9",Đất thổ cư,"8,99 tỷ",40 tr/m²,223 m²,Tp Hồ Chí Minh
"PTY 9979 13000 1010 [S] Bán căn OF 37m2 Lavida Plus Quận 7, chiết khấu",1 PN • Officetel,"1,99 tỷ",54 tr/m²,37 m²,Tp Hồ Chí Minh
BIỆT THỰ VƯỜN LÀI AN PHÚ ĐÔNG QUẬN 12 405m FULL THỔ CHỈ 51TR/1M.,4 PN • Nhà biệt thự,22 tỷ,54 tr/m²,405 m²,Tp Hồ Chí Minh
Chính Chủ Bán Lô Đất 5000m2 Tại Thống Nhất - Đồng Nai,Đất nông nghiệp,790 triệu,< 1 tr/m²,5000 m²,Đồng Nai
"Nhà 4 tầng khu VIP Trường Thọ, hẻm xe hơi cách Đặng Văn Bi 100m","3 PN • Nhà ngõ, hẻm","6,8 tỷ",136 tr/m²,50 m²,Tp Hồ Chí Minh
DIỆN TÍCH KHỦNG 5x20 - FULL THỔ CƯ - BÁN GẤP 4.9 TỶ,Đất thổ cư • Ngang 5 m,"4,9 tỷ",49 tr/m²,100 m²,Tp Hồ Chí Minh
ngợp bán nhanh vườn sầu tiêng thu mạnh có thổ cư bám hồng tại bảo binh,Đất thổ cư • Ngang 80 m,5 tỷ,< 1 tr/m²,6072 m²,Đồng Nai
"Nhỉnh 4tỷ! có ngay nhà 50m2 khu Bàu Cát, cách bệnh viện Tân Phú 200m","3 PN • Nhà ngõ, hẻm","4,18 tỷ",84 tr/m²,50 m²,Tp Hồ Chí Minh
"Bán Nhà Kim Mã!! 3 bước ra oto- 50m2-4 tầng- Dân Xây- 2 mặt ngõ, chỉ 1","4 PN • Nhà ngõ, hẻm","10,9 tỷ",218 tr/m²,50 m²,Hà Nội
"29/4/25 giá Việt sing, Định Hòa, Phú Mỹ, Sài Gòn mua được",2 PN • Chung cư,375 triệu,13 tr/m²,30 m²,Bình Dương
Bán CHDV 16 studio (25m2) full nội thất cao cấp thu nhập 95tr/tháng,"nhiều hơn 10 PN • Hướng Đông Bắc • Căn hộ dịch vụ, mini",18 tỷ,35 tr/m²,520 m²,Tp Hồ Chí Minh
PTY 2328 13000 1020 [S] bán nhà đường số 6 bhhb,"3 PN • Nhà ngõ, hẻm","3,3 tỷ",52 tr/m²,64 m²,Tp Hồ Chí Minh
Bán nhà sát phố Đại La - Bạch Mai,"5 PN • Hướng Đông Nam • Nhà ngõ, hẻm","7,3 tỷ",209 tr/m²,35 m²,Hà Nội
"Đất Tỉnh Lộ 52, Long Tân",Đất thổ cư • Ngang 7 m,"2,3 tỷ","9,5 tr/m²",243 m²,Bà Rịa - Vũng Tàu
Bán nhà 4 tầng sát KDC Nam Long Quận 7,"4 PN • Nhà ngõ, hẻm","7,1 tỷ",120 tr/m²,59 m²,Tp Hồ Chí Minh
"PTY 3179 13000 1020 [S] SIÊU PHẨM GÓC 2 MẶT TIỀN(5PN,6WC)FULL NỘI THẤT","5 PN • Hướng Tây Bắc • Nhà ngõ, hẻm","6,8 tỷ",119 tr/m²,57 m²,Tp Hồ Chí Minh
Nhà Giá Rẻ Vào Ở Ngay - Có Sổ Đầy Đủ,"2 PN • Nhà ngõ, hẻm","1,95 tỷ",65 tr/m²,30 m²,Đà Nẵng
Bán nhà mặt tiền CMT8 Phường 5 Tân Bình ngay bến metro Phạm Văn Hai,Mặt bằng kinh doanh • Hoàn thiện cơ bản,"3,6 tỷ",12 m²,,Tp Hồ Chí Minh
"MẶT TIỀN TRỊNH ĐÌNH TRỌNG- TÂN PHÚ - 8 M X 23 , 5 TẦNG ĐẸP","nhiều hơn 10 PN • Nhà mặt phố, mặt tiền",48 tỷ,265 tr/m²,181 m²,Tp Hồ Chí Minh
Nhà hẻm chính chủ ký công chứng liền,"1 PN • Nhà ngõ, hẻm","1,35 tỷ",135 tr/m²,10 m²,Tp Hồ Chí Minh
"Bán nhà đẹp 5 tầng khu đồng bộ 107/52 Nguyễn Văn Khối, p. 11, ngay côn",4 PN • Nhà phố liền kề,8 tỷ,133 tr/m²,60 m²,Tp Hồ Chí Minh
Bán Nhà Full Nội Thất,3 PN • Hướng Tây Bắc • Nhà phố liền kề,"7,5 tỷ",100 tr/m²,75 m²,Tp Hồ Chí Minh
"Nhà đẹp Chính Chủ cần bán Khu Dân Cư Phát Hải, Cần Giuộc Long An.","3 PN • Nhà mặt phố, mặt tiền","3,3 tỷ",37 tr/m²,90 m²,Long An
📢 Cần Bán Gấp Giá Tốt Căn Hộ 122m2 Dự Án The Sóng,3 PN • Chung cư,"5,55 tỷ",45 tr/m²,122 m²,Bà Rịa - Vũng Tàu
📢 Cần Bán Gấp Giá Tốt Căn Hộ 122m2 Dự Án The Sóng,3 PN • Chung cư,"5,55 tỷ",45 tr/m²,122 m²,Bà Rịa - Vũng Tàu
"NC4- HXT Bùi Đình Túy(DT: 6x16,5m & XDM: Hầm+5 Tầng) Giá 12,5tỷ TL",Đất thổ cư • Ngang 6 m,"12,5 tỷ",128 tr/m²,98 m²,Tp Hồ Chí Minh
Bán nhà,"2 PN • Hướng Nam • Nhà ngõ, hẻm","1,1 tỷ",23 tr/m²,48 m²,Long An
Chính chủ gởi em bán gấp! chưa đến 5tỷ có ngay nhà 60m2 khu Tân Thành,"3 PN • Nhà ngõ, hẻm","4,68 tỷ",78 tr/m²,60 m²,Tp Hồ Chí Minh
"BÁN NHÀ 44m2, Hẻm ô tô, 2 Tầng ngay trường An Hội, Emart - NHỈNH 4 tỷ","2 PN • Nhà ngõ, hẻm",4 tỷ,91 tr/m²,44 m²,Tp Hồ Chí Minh
NHÀ PHỐ GÒ VẤP – 3PN – FULL NỘI THẤT – GẦN EMART – CHỈ 4 tỷ 7 NHỈNH,"3 PN • Nhà ngõ, hẻm","4,7 tỷ",102 tr/m²,46 m²,Tp Hồ Chí Minh
"Chung cư xã hội Việt sing thang máy 645 triệu ,Sài Gòn mua được",2 PN • Chung cư,645 triệu,22 tr/m²,30 m²,Bình Dương
"GIẢM 300 TR MẶT TIỀN CHỢ PHẠM VĂN CHIÊU, 4,3x18, 2 Tầng - NHỈNH 7 tỷ 5","3 PN • Nhà ngõ, hẻm","7,5 tỷ",96 tr/m²,78 m²,Tp Hồ Chí Minh
Q7BOULEVARD-BÁN 2PN 2WC CĂN GÓC BAN CÔNG & LOGIA RIÊNG NHÀ MỚI 100%,2 PN • Chung cư,"2,9 tỷ",41 tr/m²,70 m²,Tp Hồ Chí Minh
"Hàng hot! nhà 3,5x17m hẻm xe hơi 305 Lê Văn Sỹ bệnh viện ITO","2 PN • Hướng Đông Nam • Nhà ngõ, hẻm","10,5 tỷ",184 tr/m²,57 m²,Tp Hồ Chí Minh
BÁN NHÀ GÒ VẤP – 4PN – HẺM XE HƠI – GẦN EMART – 6 tỷ 7 NHỈNH,"4 PN • Nhà ngõ, hẻm","6,7 tỷ",129 tr/m²,52 m²,Tp Hồ Chí Minh
PTY 317 13000 1010 [S] The Privia giỏ hàng bán lại giá tố.t nh.ất dự á,1 PN • Hướng Tây Bắc • Chung cư,"3,01 tỷ",59 tr/m²,51 m²,Tp Hồ Chí Minh
"Bán GÓC xe hơi - Cống Lở 4x13, 2 Tầng - đang cho thuê 7triệu/tháng","2 PN • Nhà ngõ, hẻm","4,6 tỷ",88 tr/m²,52 m²,Tp Hồ Chí Minh
"Nhà 2 lầu sát Gò vấp 4,95 tỷ","4 PN • Hướng Tây Bắc • Nhà ngõ, hẻm","4,95 tỷ",95 tr/m²,52 m²,Tp Hồ Chí Minh
Nhà Bán Trường Chinh 4mx13m Cấp 4 Giá tốt,"2 PN • Nhà ngõ, hẻm","4,68 tỷ",90 tr/m²,52 m²,Tp Hồ Chí Minh
"BÁN NHÀ MẶT TIỀN 5 TẦNG ĐƯỜNG TRẦN HƯNG ĐẠO, KD 100TR/THÁNG. QUẬN 5","6 PN • Nhà mặt phố, mặt tiền",27 tỷ,355 tr/m²,76 m²,Tp Hồ Chí Minh
"nhà phố nguyễn trãi, phường nguyễn cư trinh q1","3 PN • Hướng Đông Bắc • Nhà ngõ, hẻm","9,5 tỷ",143 tr/m²,66 m²,Tp Hồ Chí Minh
"NHÀ 2 tầng kiệt oto Xuân Hoà, 1,850 tỷ gần KDT ECO,VỸ DẠ có 2 PN, 2 WC","2 PN • Hướng Đông • Nhà ngõ, hẻm","1,85 tỷ",46 tr/m²,40 m²,Thừa Thiên Huế
"Chính chủ bán lô đất view biển, làm biệt thự nghĩ dưỡng",Đất thổ cư,"6,232 tỷ",16 tr/m²,390 m²,Bình Thuận
Kẹt tiền thanh lý gấp căn 2pn 2wc 57m2 Dream Home Riverside,2 PN • Hướng Tây Bắc • Chung cư,"1,39 tỷ",24 tr/m²,57 m²,Tp Hồ Chí Minh
"BÁN NHÀ MẶT TIỀN 4 TẦNG TẠ QUANG BỬU, TẶNG NT 2 TỶ. KD 80TR. QUẬN 8","6 PN • Nhà mặt phố, mặt tiền",19 tỷ,176 tr/m²,108 m²,Tp Hồ Chí Minh
Chính chủ cần bán nhà 61m Ngọc Thuỵ Long Biên - Sân để xe siêu rộng,"4 PN • Nhà ngõ, hẻm","7,1 tỷ",116 tr/m²,61 m²,Hà Nội
"RẺ 2 TỶ. BÁN NHÀ 4 TẦG MẶT TIỀN BA ĐÌNH,VIEW SÔNG.HIẾM NHÀ BÁN. QUẬN 8","6 PN • Nhà mặt phố, mặt tiền","9,8 tỷ",109 tr/m²,90 m²,Tp Hồ Chí Minh
bán nhà công chứng vi bằng hẻm to ô tô đậu ngay cửa nhà,"2 PN • Nhà ngõ, hẻm","1,79 tỷ",50 tr/m²,36 m²,Tp Hồ Chí Minh
"Chung cư xã hội Định Hòa, lầu 3 (sổ hồng):130 triệu SG mua được",4 PN • Chung cư,130 triệu,"3,4 tr/m²",38 m²,Bình Dương
"Nhỉnh 11 tỷ , Lâu đài thơ mộng Phú Nhuận , 95m2, 4 tầng , 4PN, 5 WC",4 PN • Nhà phố liền kề,"11,9 tỷ",125 tr/m²,95 m²,Tp Hồ Chí Minh
NHÀ CHỦ TỰ XÂY – GẦN Ô TÔ TRÁNH – 2 MẶT THOÁNG TẶNG NỘI THẤT,"5 PN • Nhà mặt phố, mặt tiền","6,2 tỷ",148 tr/m²,42 m²,Hà Nội
BÁN BIỆT THỰ DT 230M2( HẦM-THANG MÁY). TẶNG 15 TỶ NỘI THẤT GỖ. GÒ VẤP,"7 PN • Nhà ngõ, hẻm",35 tỷ,152 tr/m²,230 m²,Tp Hồ Chí Minh
"NHÀ 2 TẦNG , KHU NAM LONG PHÚ THUẬN , HẺM XE HƠI , 191m² , NGANG 19m ,","3 PN • Nhà ngõ, hẻm",8 tỷ,43 tr/m²,187 m²,Tp Hồ Chí Minh
CĂN HỘ TẦNG TRỆT - KINH DOANH ÐỈNH - XE TẢI ĐỔ CỬA - KẾ PHẠM VĂN ĐỒNG,2 PN • Chung cư,"3,5 tỷ",78 tr/m²,45 m²,Tp Hồ Chí Minh
"Siêu Phẩm Tân Phú , HXH ,65m2, 5 tầng , full nội thất . Chỉ 8,78 tỷ TL",6 PN • Nhà phố liền kề,"8,78 tỷ",137 tr/m²,64 m²,Tp Hồ Chí Minh
"Mua là lời Nhà 3 tầng đúc K.D.Vương-Bình Tân, 76m2 giá chỉ 7 Tỷ Nhỉnh","3 PN • Nhà ngõ, hẻm","7,488 tỷ",99 tr/m²,76 m²,Tp Hồ Chí Minh
BÁN LÔ ĐẤT MẶT TIỀN KINH DOANH – CÁCH ĐƯỜNG TRẦN HƯNG ĐẠO 30M,Đất thổ cư • Ngang 5 m,"3,55 tỷ",36 tr/m²,100 m²,Bình Định
4 Tỷ– Sở hữu nhà Đại Học Kiến Trúc Đà Nẵng + Tặng Xe Vinfast VF3,3 PN • Chung cư,4 tỷ,49 tr/m²,82 m²,Đà Nẵng
"Chính chủ bán nhanh căn hộ Sky Garden 3, nhà đẹp, mới 100%",2 PN • Chung cư,"4,3 tỷ",62 tr/m²,69 m²,Tp Hồ Chí Minh
"Bán nhà Gò Vấp, hẻm xe hơi Lê Đức Thọ, 4 x 18, 4 tầng, 6Pn, hơn 8 tỷ","6 PN • Nhà ngõ, hẻm","8,85 tỷ",123 tr/m²,72 m²,Tp Hồ Chí Minh
BÁN NHÀ CHÍNH CHỦ TRUNG TÂM HOÀ XUÂN,"4 PN • Hướng Nam • Nhà mặt phố, mặt tiền","5,799 tỷ",58 tr/m²,100 m²,Đà Nẵng
Nhà HẺM NHỰA 5M trung tâm khu BÀU CÁT. 2 LẦU-ST chỉ 6.9 tỷ,"4 PN • Nhà ngõ, hẻm","6,9 tỷ",153 tr/m²,45 m²,Tp Hồ Chí Minh
Bán nhà sổ Hồng riêng,"2 PN • Nhà ngõ, hẻm","1,95 tỷ",98 tr/m²,20 m²,Tp Hồ Chí Minh
🛑🛑 BÁN NHÀ ĐƯỜNG TSX TÂN HƯNG 2 LẦU CHÌ 2.1 TỶ 🛑🛑2PN 2WC 🛑MẶT TIỀN 🛑🛑,"2 PN • Nhà ngõ, hẻm","2,1 tỷ",150 tr/m²,14 m²,Tp Hồ Chí Minh
bán nhà mặt tiền đường Hoa khu Phan Xích Long,"5 PN • Nhà mặt phố, mặt tiền","12,5 tỷ",357 tr/m²,35 m²,Tp Hồ Chí Minh
"Đất Long Tân, Long Đất",Đất thổ cư • Ngang 6 m,680 triệu,"3,6 tr/m²",189 m²,Bà Rịa - Vũng Tàu
Căn hộ charm city 69m2 Dĩ an Bình Dương,2 PN • Chung cư,"1,95 tỷ",28 tr/m²,70 m²,Bình Dương
Bán nhà,"2 PN • Nhà ngõ, hẻm","2,05 tỷ",37 tr/m²,56 m²,Tp Hồ Chí Minh
"Nhà 1T1L 83m2 giá 4.95 tỷ đường số 2, cách Lê Văn Việt 100m","3 PN • Nhà ngõ, hẻm","4,95 tỷ",60 tr/m²,83 m²,Tp Hồ Chí Minh
XUÂN THUỶ - CẦU GIẤY - 55M NGÕ 5M - Ô TÔ TRÁNH - KINH DOANH - SỔ ĐẸP.,"4 PN • Nhà ngõ, hẻm","20,39 tỷ",408 tr/m²,50 m²,Hà Nội
"60m2, 4 tầng, Huỳnh Tấn Phát, Q.7, Sổ riêng, giá 6.9 tỷ",4 PN • Nhà phố liền kề,"6,9 tỷ",115 tr/m²,60 m²,Tp Hồ Chí Minh
TRẦN QUỐC VƯỢNG - CẦU GIẤY - 60M ĐƯỜNG TRƯỚC NHÀ 5M Ô TÔ TRÁNH SỔ ĐẸP.,"4 PN • Nhà ngõ, hẻm","20,39 tỷ",408 tr/m²,50 m²,Hà Nội
Cần bán nhanh - có thương lượng,Đất thổ cư • Ngang 10.7 m,"2,079 tỷ",21 tr/m²,99 m²,Khánh Hòa
Mặt Tiền Đường Nghĩa Hoà Ngang 6.2m 1 trệt 3 lầu,"4 PN • Nhà mặt phố, mặt tiền","6,3 tỷ",180 tr/m²,35 m²,Tp Hồ Chí Minh
Bán lô đất ngay trung tâm Dầu Tiếng 1100m2 giá 1 tỷ 50 triệu,Đất thổ cư • Ngang 1 m,"1,05 tỷ",< 1 tr/m²,1100 m²,Bình Dương
"ĐỊNH CƯ GIẢM ""500TR""! Bán gấp nhà 4 tầng 70m2 - Ngay Chợ Bà Chiểu","4 PN • Nhà ngõ, hẻm","7,09 tỷ",101 tr/m²,70 m²,Tp Hồ Chí Minh
1000m2 vườn - CÓ SẴN 150m2 thổ cư - Sát lộ nhựa 816,Đất thổ cư • Ngang 11.5 m,"1,2 tỷ","1,2 tr/m²",1000 m²,Long An
Chủ gửi bán nhà cấp 4 mặt tiền 12m,"2 PN • Nhà mặt phố, mặt tiền","3,49 tỷ",35 tr/m²,100 m²,Bình Dương
Phan Đình Phùng – góc – 45m2 – ngang 4.2m – ko lộ giới – shock 6 tỷ.,"2 PN • Nhà ngõ, hẻm",6 tỷ,133 tr/m²,45 m²,Tp Hồ Chí Minh
SIÊU PHẨM ĐỊNH CÔNG THƯỢNG- KO CÓ CĂN THỨ 2 55m giá 11.8ty,"6 PN • Nhà ngõ, hẻm","11,8 tỷ",215 tr/m²,55 m²,Hà Nội
"Đất Long Phước, Bà Rịa",Đất nông nghiệp • Ngang 27 m,"4,2 tỷ","3,4 tr/m²",1253 m²,Bà Rịa - Vũng Tàu
BÁN NHÀ PHỐ GÓC MẶT TIỀN Đ 20M KHANG ĐIỀN BÌNH CHÁNH,"3 PN • Hướng Tây • Nhà mặt phố, mặt tiền",15 tỷ,108 tr/m²,140 m²,Tp Hồ Chí Minh
"Nhà Trệt 3 Lầu có ST ngay cuối TK-TQ giao Mã Lò, SR hoàn công","4 PN • Nhà ngõ, hẻm","2,6 tỷ",52 tr/m²,50 m²,Tp Hồ Chí Minh
"Bán nhà 4 tầng mới, đường 6 mét, dt: 4 × 16 .giá 5 tỷ 800 thương lượng","4 PN • Hướng Tây Nam • Nhà ngõ, hẻm","5,8 tỷ",90 tr/m²,65 m²,Tp Hồ Chí Minh
MẶT NGÕ DỊCH VỌNG HẬU- CẦU GIẤY - 60M ĐƯỜNG TRƯỚC NHÀ 5M - Ô TÔ TRÁNH.,"4 PN • Nhà ngõ, hẻm","20,39 tỷ",408 tr/m²,50 m²,Hà Nội
💎🔥🔥🌈BÁN NHÀ 2.5 TẦNG - 3 MẶT KIỆT - GẦN ĐƯỜNG THANH THỦY - HẢI CHÂU -,"3 PN • Nhà ngõ, hẻm","3,79 tỷ",63 tr/m²,60 m²,Đà Nẵng
BÁN NHÀ ĐẸP 2 MẶT SÁT HÒA BÌN.H -ĐẦ.M SE.N - 4PN - HXH - ( 4X16M ),"4 PN • Nhà ngõ, hẻm","5,6 tỷ",88 tr/m²,64 m²,Tp Hồ Chí Minh
"Nhà HXH , thiết kế đẹp 5x15m 3 tầng , đầy đủ công năng sát Đỗ Xuân Hợp","3 PN • Nhà ngõ, hẻm","6,4 tỷ",83 tr/m²,77 m²,Tp Hồ Chí Minh
👌🏻NHÀ NÁT 70M2 HXM TẠI P.13 BÌNH THẠNH,"2 PN • Nhà ngõ, hẻm","7,95 tỷ",114 tr/m²,70 m²,Tp Hồ Chí Minh
"Đất 241.8m2 ngang 7.3m vuông vức, hẻm nhựa 7m cách ĐS 2 chỉ 90m",Đất thổ cư • Ngang 7.3 m,"14,5 tỷ",60 tr/m²,242 m²,Tp Hồ Chí Minh
The Privé Quận 2 - Căn hộ cao cấp,2 PN • Chung cư,4 tỷ,47 tr/m²,85 m²,Tp Hồ Chí Minh
1600m2 giá đầu tu loi nhuận dân cư đông đường thông thoáng xã xuân bao,Đất nông nghiệp • Ngang 22 m,800 triệu,< 1 tr/m²,1600 m²,Đồng Nai
"BÁN NHÀ 5 TẦNG ĐÚC MẶT TIỀN HT26 QUẬN 12 GIÁ RẺ 7,9 TỶ DIỆN TÍCH 100M2","6 PN • Nhà mặt phố, mặt tiền","7,9 tỷ",79 tr/m²,100 m²,Tp Hồ Chí Minh
"Nhà ĐẸP CHÍNH CHỦ - NHÀ Ở HOẶC ĐẦU TƯ - TÀI CHÍNH 6,6 TỎI..TRỐT NGAY","3 PN • Nhà ngõ, hẻm","6,6 tỷ",220 tr/m²,30 m²,Hà Nội
Bán nhà vườn lài tiện kinh doanh,"3 PN • Hướng Đông • Nhà mặt phố, mặt tiền","6,6 tỷ",94 tr/m²,70 m²,Tp Hồ Chí Minh
"Đất Phước Long Thọ,Long Đất",Đất thổ cư • Ngang 10 m,"1,35 tỷ","2,8 tr/m²",475 m²,Bà Rịa - Vũng Tàu
chủ ngợp bán nhanh lô đất hồng giá rẽ nhất khu vuc xa bảo bình,Đất thổ cư • Ngang 68 m,8 tỷ,< 1 tr/m²,9786 m²,Đồng Nai
"Gấp lắm! Bán nhà Hoà Thạnh Tân Phú 37m2,2Tầng,2PN,Chỉ 4Tỷ(CònTL)","2 PN • Nhà ngõ, hẻm",4 tỷ,108 tr/m²,37 m²,Tp Hồ Chí Minh
Giảm gần 1 tỷ cho căn mặt tiền kinh doanh Tx21,"5 PN • Hướng Tây Nam • Nhà mặt phố, mặt tiền","7,5 tỷ",95 tr/m²,79 m²,Tp Hồ Chí Minh
Chủ bán nhà sổ riêng diện tích khủng,"2 PN • Nhà ngõ, hẻm","2,89 tỷ",29 tr/m²,100 m²,Bình Dương
"Đất đường nhựa Hiếu Liêm, Bắc Tân Uyên bình dương giá 870tr",Đất thổ cư • Ngang 6 m,870 triệu,"3,2 tr/m²",269 m²,Bình Dương
"✅ Bán đất thổ chợ Kỳ Son thuộc Ấp Bình Xuyên , xã Bình Quới _ 5 x 40m2",Đất thổ cư • Ngang 5 m,850 triệu,"4,3 tr/m²",200 m²,Long An
Bán nhà sổ Hồng riêng,"4 PN • Nhà ngõ, hẻm","6,8 tỷ",100 tr/m²,68 m²,Tp Hồ Chí Minh
"Chỉ hơn 3 tỷ _Nhà đẹp ở liền hẻm 20 Mã Lò, DTSD ~4x17m","2 PN • Hướng Đông Nam • Nhà ngõ, hẻm","3,65 tỷ",54 tr/m²,68 m²,Tp Hồ Chí Minh
Bán nhà,"1 PN • Nhà ngõ, hẻm","1,05 tỷ",55 tr/m²,19 m²,Tp Hồ Chí Minh
ĐẤT FULL THỔ NGAY TRUNG TÂM THÀNH PHỐ-PHƯỜNG TÂN TIẾN,Đất thổ cư • Ngang 6 m,"3,9 tỷ",18 tr/m²,216 m²,Đắk Lắk
CẦN BÁN NHÀ 3 TẦNG – LÊ QUANG SUNG – VỊ TRÍ KINH DOANH TỐT,"2 PN • Nhà mặt phố, mặt tiền","5,5 tỷ",100 tr/m²,55 m²,Đà Nẵng
"WAO, RẺ BẤT NGỜ, JAMILA KHANG ĐIỀN Mặt tiền Song Hành, Sổ Hồng riêng",2 PN • Chung cư,"3,95 tỷ",56 tr/m²,70 m²,Tp Hồ Chí Minh
HXH KINH DOANH MUA BÁN DƯƠNG BÁ TRẠC P1 Q8. TRỆT 2 LẦU ST. 4M X 12M,"4 PN • Nhà ngõ, hẻm","7,8 tỷ",168 tr/m²,46 m²,Tp Hồ Chí Minh
BÁN VILLA GÓC 6 TẦNG – VIEW SÔNG CỔ CÒ – GẦN SÂN GOLF,nhiều hơn 10 PN • Nhà biệt thự,25 tỷ,92 tr/m²,271 m²,Đà Nẵng
"*****TÌM CHỦ MỚI – NGUYỄN ẢNH THỦ, QUẬN 12 - 87M2*5M – CHỈ 4T MỐT*****","2 PN • Nhà ngõ, hẻm","4,1 tỷ",47 tr/m²,87 m²,Tp Hồ Chí Minh
BÁN ĐẤT KIỆT 183 TÔ HIỆU – HÒA MINH – LIÊN CHIỂU,Đất thổ cư • Ngang 6.5 m,"1,95 tỷ",29 tr/m²,68 m²,Đà Nẵng
Bán đất 100.000m2 làm xưởng Long Hòa Dầu Tiếng Bình Dương,Đất công nghiệp • Ngang 210 m,55 tỷ,550 tr/m²,100 m²,Bình Dương
SÁT CÔNG VIÊN GIÁ 2 TỶ 600 triệu /CĂN,4 PN • Nhà biệt thự,"2,6 tỷ",29 tr/m²,90 m²,Long An
"BÁN ĐẤT MẶT TIỀN DƯƠNG ĐỨC HIỀN – LÔ GÓC ĐẸP, GIÁ TỐT",Đất thổ cư • Ngang 9 m,"9,5 tỷ",57 tr/m²,167 m²,Đà Nẵng
BÁN CẶP *** – MẶT TIỀN KINH DƯƠNG VƯƠNG,Đất thổ cư,"14,5 tỷ",69 tr/m²,210 m²,Đà Nẵng
"🔥 BÁN GẤP NHÀ KIỆT 2 TẦNG ĐẸP – TRUNG TÂM HẢI CHÂU, ĐÀ NẴNG 🔥","2 PN • Nhà ngõ, hẻm","4,8 tỷ",48 tr/m²,99 m²,Đà Nẵng
🏡 SIÊU PHẨM NHÀ ĐẸP – ĐỐI DIỆN UBND QUẬN LIÊN CHIỂU 🌟✨,"4 PN • Nhà mặt phố, mặt tiền","6,8 tỷ",85 tr/m²,80 m²,Đà Nẵng
"Đất Phước Hưng, Long Điền",Đất thổ cư • Ngang 5 m,"1,6 tỷ",15 tr/m²,105 m²,Bà Rịa - Vũng Tàu
SIÊU PHẨM NHÀ 3 TẦNG – SANG TRỌNG & ĐẲNG CẤP 🌟✨,"4 PN • Nhà mặt phố, mặt tiền","7,25 tỷ",81 tr/m²,90 m²,Đà Nẵng
Nhà hẻm 4m TRƯỜNG CHINH ngay ĐỒNG ĐEN. 4.1x23m=92m2 giá chỉ 8.45 tỷ,"3 PN • Nhà ngõ, hẻm","8,45 tỷ",91 tr/m²,93 m²,Tp Hồ Chí Minh
Bán nhà sổ hồng riêng an phú đông 09,"2 PN • Hướng Đông Nam • Nhà ngõ, hẻm","4,8 tỷ",54 tr/m²,88 m²,Tp Hồ Chí Minh
BÁN ĐẤT NHÀ BÈ 254M2 THỔ VƯỜN - MẶT TIỀN ĐƯỜNG GIÁ 4TY6 TL,Đất nông nghiệp • Ngang 8 m,"4,6 tỷ",18 tr/m²,254 m²,Tp Hồ Chí Minh
Cần bán nhà nhỏ có sổ hồng,"2 PN • Nhà ngõ, hẻm","1,85 tỷ",119 tr/m²,16 m²,Tp Hồ Chí Minh
NHÀ ĐƯỜNG DƯƠNG THỊ MƯỜI Q12 - 126M² - HẺM XE TẢI - NGAY BV QUẬN 12,"7 PN • Nhà ngõ, hẻm","4,9 tỷ",39 tr/m²,126 m²,Tp Hồ Chí Minh
